id,type,intensity,category,isPremium,estimatedTime,requires,safetyNotes,content_en,content_es,translationStatus,notes
f-n-t1,truth,2,intimate,false,N/A,,,Tell me one small touch from me that instantly gets your attention.,Dime un pequeño roce mío que capte tu atención al instante.,translated,
f-n-t2,truth,1,emotional,false,N/A,,,What is one compliment from me that would make you blush right now?,¿Qué cumplido mío te haría sonrojar ahora mismo?,translated,
f-n-t3,truth,2,intimate,false,N/A,,,Where do you like to be kissed when you want things to build slowly?,¿Dónde te gusta que te besen cuando quieres que las cosas suban de tono despacio?,translated,
f-n-d1,dare,2,physical,false,30 sec,,,Give me your slowest 30 second kiss without using your hands.,Dame tu beso más lento de 30 segundos sin usar las manos.,translated,
f-n-d2,dare,2,physical,false,30 sec,,,Trace a path from my wrist to my shoulder with your fingertips.,Traza con las yemas de los dedos un camino desde mi muñeca hasta mi hombro.,translated,
f-n-d3,dare,3,intimate,false,30 sec,,,Stand behind me and whisper three things you like about my body.,Ponte detrás de mí y susúrrame tres cosas que te gustan de mi cuerpo.,translated,
f-n-c1,challenge,3,intimate,false,1 min,,,No Words: Use only touch and eye contact to tell me what you want for 1 minute.,Sin palabras: Usa solo el tacto y el contacto visual para decirme qué quieres durante 1 minuto.,translated,
f-n-c2,challenge,1,emotional,false,30 sec,,,Compliment Ladder: Take turns giving compliments for 30 seconds. No repeats.,Escalera de cumplidos: Túrnense para darse cumplidos durante 30 segundos. Sin repetir.,translated,
f-n-c3,challenge,2,physical,false,30 sec,,,"Slow Dance: Hold me close and move together for 30 seconds, with or without music.","Baile lento: Abrázame y muévete conmigo durante 30 segundos, con o sin música.",translated,
f-n-f1,fantasy,2,playful,false,N/A,,,Describe the perfect first move I could make if we were starting over right now.,Describe el primer movimiento perfecto que haría si empezáramos de cero ahora mismo.,translated,
f-n-f2,fantasy,3,playful,false,N/A,,,Pick a room in the house and tell me how you would turn it into a date-night scene.,Elige una habitación de la casa y dime cómo la convertirías en una escena de cita nocturna.,translated,
f-n-r1,roleplay,2,playful,false,30 sec,,,Strangers at a bar: Start a flirtation with me like we have never met.,Desconocidos en un bar: Empieza a coquetear conmigo como si nunca nos hubiéramos visto.,translated,
f-n-r2,roleplay,3,intimate,false,1 min,,,Photographer / Muse: Pose me and tell me exactly what makes me look irresistible.,Fotógrafo / Musa: Ponme en pose y dime exactamente qué me hace verme irresistible.,translated,
f-i-t1,truth,4,communication,false,N/A,,,"Do you like taking control, giving up control, or switching between both?","¿Te gusta tomar el control, cederlo o alternar entre ambos?",translated,
f-i-t2,truth,4,communication,false,N/A,,,What is one kink or power-play idea you would want to explore with clear limits?,¿Qué kink o juego de poder te gustaría explorar con límites claros?,translated,
f-i-t3,truth,4,intimate,false,N/A,,,"What words from me make you feel wanted, claimed, or completely focused?","¿Qué palabras mías te hacen sentir deseado, reclamado o completamente concentrado?",translated,
f-i-t4,truth,5,communication,false,N/A,,,Name one boundary that should stay firm even when the game gets intense.,Nombra un límite que debería quedar firme incluso cuando el juego se ponga intenso.,translated,
f-i-d1,dare,4,physical,false,1 min,blindfold,Agree on a safeword or pause word before starting.,"Blindfold me with a soft cloth for 1 minute. Trace my wrist to elbow, whisper one compliment, then brush fabric across my forearm. Check in first.","Véndame los ojos con una tela suave durante 1 minuto. Traza de mi muñeca al codo, susúrrame un cumplido y luego roza la tela por mi antebrazo. Pregunta primero.",translated,
f-i-d2,dare,4,physical,false,30 sec,,Keep pressure light and release immediately if asked.,Pin my wrists gently above my head for 30 seconds while you kiss me.,Sujeta mis muñecas con suavidad por encima de mi cabeza durante 30 segundos mientras me besas.,translated,
f-i-d3,dare,4,intimate,false,1 min,,,Give me a command in your most confident voice. I follow it if it is within our limits.,Dame una orden con tu voz más segura. La cumplo si está dentro de nuestros límites.,translated,
f-i-d4,dare,4,intimate,false,1 min,,,Choose one piece of clothing and remove it slowly while keeping eye contact.,Elige una prenda y quítamela despacio manteniendo el contacto visual.,translated,
f-i-d5,dare,5,intimate,false,1 min,,,Use only your mouth near my neck and shoulders for 1 minute. No rushing.,Usa solo tu boca cerca de mi cuello y mis hombros durante 1 minuto. Sin prisa.,translated,
f-i-c1,challenge,4,communication,false,1 min,,Agree on limits and a pause word before starting.,Control Challenge: One partner gives gentle instructions for 1 minute; the other follows within agreed limits.,Reto de control: Un miembro de la pareja da instrucciones suaves durante 1 minuto; el otro las sigue dentro de los límites acordados.,translated,
f-i-c2,challenge,4,intimate,false,30 sec,,,No Hands Intense: Make me react for 30 seconds without using your hands.,Sin manos intenso: Hazme reaccionar durante 30 segundos sin usar las manos.,translated,
f-i-c3,challenge,5,intimate,false,1 min,,,"Edge of Control: Get close to breaking composure for 1 minute, then stop and switch roles.","Al borde del control: Acércate a perder la compostura durante 1 minuto, luego para y cambien de rol.",translated,
f-i-c4,challenge,4,communication,false,1 min,,,"Permission Game: For 1 minute, ask permission before every touch. The answer can be yes, no, or slower.","Juego del permiso: Durante 1 minuto, pide permiso antes de cada roce. La respuesta puede ser sí, no o más despacio.",translated,
f-i-f1,fantasy,4,intimate,false,N/A,,,Describe a scene where one of us is fully in charge and the other happily follows.,Describe una escena donde uno de los dos manda por completo y el otro obedece con gusto.,translated,
f-i-f2,fantasy,5,intimate,false,N/A,,,"Tell me an intense private fantasy that would still feel safe, wanted, and consensual.","Cuéntame una fantasía privada intensa que aun así se sienta segura, deseada y consentida.",translated,
f-i-f3,fantasy,4,playful,false,N/A,,,Pick a forbidden place in the house and describe the version of us that meets there.,Elige un lugar prohibido de la casa y describe la versión de nosotros que se encuentra ahí.,translated,
f-i-r1,roleplay,4,intimate,false,1 min,,,Boss / Assistant: One of us is in charge. Give a private instruction and see if it is followed.,Jefe / Asistente: Uno de los dos manda. Da una instrucción privada y comprueba si se cumple.,translated,
f-i-r2,roleplay,5,intimate,false,1 min,,Keep restraint pretend or easy-release unless both partners explicitly agree.,"Captive / Temptation: Use a blindfold or pretend restraint, then negotiate what happens next.","Cautivo / Tentación: Usa una venda o una atadura fingida, luego negocien qué pasa después.",translated,
f-i-r3,roleplay,4,playful,false,1 min,,,"Royal / Servant: One partner gives elegant, teasing orders. The other obeys within limits.",Realeza / Sirviente: Un miembro da órdenes elegantes y provocadoras. El otro obedece dentro de los límites.,translated,
f-n-t4,truth,2,communication,false,N/A,,,Tell me one place you want more playful attention from me.,Dime un lugar donde quieras más atención juguetona de mi parte.,translated,
f-n-t5,truth,2,emotional,false,N/A,,,What is one flirty thing that always gets your attention?,¿Qué cosa coqueta siempre capta tu atención?,translated,
f-n-t6,truth,3,playful,false,N/A,,,"If I gave you a private signal from across the room, what should it mean?","Si te diera una señal privada desde el otro lado de la habitación, ¿qué debería significar?",translated,
f-n-d4,dare,2,physical,false,30 sec,,,Kiss three different spots and tell me why you chose each one.,Besa tres lugares distintos y dime por qué elegiste cada uno.,translated,
f-n-d5,dare,3,intimate,false,30 sec,,,Guide my hand to exactly where you want it for 30 seconds.,Guía mi mano exactamente adonde la quieras durante 30 segundos.,translated,
f-n-d6,dare,2,physical,false,30 sec,,,Give me a neck and shoulder massage for 30 seconds while keeping close.,Dame un masaje de cuello y hombros durante 30 segundos manteniéndote cerca.,translated,
f-n-c4,challenge,2,playful,false,30 sec,,,"Temptation Timer: Try to make me smile, blush, or laugh in 30 seconds.","Cronómetro de la tentación: Intenta hacerme sonreír, sonrojar o reír en 30 segundos.",translated,
f-n-c5,challenge,3,intimate,false,30 sec,,,Touch Map: Take turns naming one spot to touch for 30 seconds.,Mapa del tacto: Túrnense para nombrar un lugar que tocar durante 30 segundos.,translated,
f-n-f3,fantasy,3,playful,false,N/A,,,"Describe a version of us that is playful, bold, and completely unrushed. Start with the first move.","Describe una versión de nosotros que sea juguetona, audaz y sin ninguna prisa. Empieza por el primer movimiento.",translated,
f-n-r3,roleplay,2,physical,false,30 sec,,,"Massage Therapist / Client: Ask what I need, then give your most attentive treatment.","Masajista / Cliente: Pregunta qué necesito, luego dame tu tratamiento más atento.",translated,
f-n-r4,roleplay,3,playful,false,30 sec,,,Secret Admirer: Leave me one whispered clue about what you want next.,Admirador secreto: Déjame una pista susurrada sobre lo que quieres a continuación.,translated,
f-i-t5,truth,4,communication,false,N/A,,,What kind of teasing makes you feel most wanted without crossing a line?,¿Qué tipo de provocación te hace sentir más deseado sin cruzar una línea?,translated,
f-i-t6,truth,4,intimate,false,N/A,,,"Name one command you would enjoy hearing from me. Now say it out loud, in my voice.","Nombra una orden que te gustaría escuchar de mí. Ahora dila en voz alta, con mi voz.",translated,
f-i-t7,truth,5,communication,false,N/A,,,What is one intense scenario that sounds exciting only if we agree on limits first?,¿Qué escenario intenso te resulta emocionante solo si acordamos los límites primero?,translated,
f-i-t8,truth,5,emotional,false,N/A,,,Tell me one aftercare gesture that would help you feel safe after intense play.,Dime un gesto de cuidado posterior que te ayudaría a sentirte seguro tras un juego intenso.,translated,
f-i-d6,dare,4,intimate,false,30 sec,,Keep the hold gentle and release immediately if asked.,Hold my wrists gently and tell me exactly what you want for 30 seconds.,Sujeta mis muñecas con suavidad y dime exactamente qué quieres durante 30 segundos.,translated,
f-i-d7,dare,4,physical,false,1 min,,Keep the play area clear and use a pause word.,Blindfold yourself or close your eyes while I guide one touch for 1 minute.,Véndate los ojos o ciérralos mientras yo guío un roce durante 1 minuto.,translated,
f-i-d8,dare,4,communication,false,1 min,,,Give me one firm instruction and one soft instruction. I choose which to follow.,Dame una instrucción firme y una instrucción suave. Yo elijo cuál seguir.,translated,
f-i-d9,dare,5,intimate,false,1 min,,,Tease one chosen spot for 1 minute without moving anywhere else.,Provoca un solo punto elegido durante 1 minuto sin moverte a ningún otro lado.,translated,
f-i-d10,dare,4,intimate,false,30 sec,,,"Put me in a pose that makes me feel desired, then hold eye contact for 30 seconds.","Ponme en una pose que me haga sentir deseado, luego mantén el contacto visual durante 30 segundos.",translated,
f-i-c5,challenge,4,communication,false,1 min,,Stop immediately if the pause word is used.,"Safeword Check: Set a pause word, then play with confident instructions for 1 minute.","Prueba de palabra de seguridad: Establezcan una palabra para pausar, luego jueguen con instrucciones seguras durante 1 minuto.",translated,
f-i-c6,challenge,4,intimate,false,30 sec,,"Stillness is a game, not a rule. Anyone can pause.",Stillness Game: One partner stays still for 30 seconds while the other teases within limits.,Juego de la quietud: Un miembro se queda inmóvil durante 30 segundos mientras el otro provoca dentro de los límites.,translated,
f-i-c7,challenge,4,playful,false,30 sec,,,"Switch Control: One partner leads for 30 seconds, then switch roles.","Control alternado: Un miembro dirige durante 30 segundos, luego cambien de rol.",translated,
f-i-c8,challenge,5,communication,false,1 min,,,"Permission Only: For 1 minute, every touch needs a yes, no, or slower answer.","Solo con permiso: Durante 1 minuto, cada roce necesita un sí, un no o un más despacio.",translated,
f-i-c9,challenge,5,intimate,false,1 min,,,"Almost Too Much: Build anticipation for 1 minute, then stop and ask what should happen next.","Casi demasiado: Genera anticipación durante 1 minuto, luego para y pregunta qué debería pasar después.",translated,
f-i-f4,fantasy,5,intimate,false,N/A,,,Describe a private scene where we use a safeword and both feel completely trusted.,Describe una escena privada donde usamos una palabra de seguridad y ambos sentimos plena confianza.,translated,
f-i-f5,fantasy,4,communication,false,N/A,,,Tell me what kind of power dynamic sounds hottest when it stays loving and consensual.,Dime qué tipo de dinámica de poder te parece más excitante cuando se mantiene amorosa y consentida.,translated,
f-i-f6,fantasy,4,intimate,false,N/A,,,"Pick a word, look, or signal that would tell me you want the intense version of us.","Elige una palabra, mirada o señal que me diga que quieres la versión intensa de nosotros.",translated,
f-i-f7,fantasy,5,emotional,false,N/A,,,Describe a scene where one of us gives up control and still feels completely cared for.,Describe una escena donde uno de los dos cede el control y aun así se siente totalmente cuidado.,translated,
f-i-r4,roleplay,4,playful,false,1 min,,,"Interrogation Lite: Ask three tempting questions. I can answer, resist, or bargain.","Interrogatorio suave: Hazme tres preguntas tentadoras. Puedo responder, resistirme o negociar.",translated,
p-t2,truth,4,intimate,true,N/A,,,If I told you to get on your knees right now—would you? Would you want to?,"Si te dijera que te arrodilles ahora mismo, ¿lo harías? ¿Querrías hacerlo?",translated,
p-t3,truth,4,intimate,true,N/A,,,The last time you touched yourself thinking about me—what was happening in your head?,"La última vez que te tocaste pensando en mí, ¿qué pasaba en tu cabeza?",translated,
p-t4,truth,4,intimate,true,N/A,,,What is one thing in bed that makes you lose control? Describe it in detail.,¿Qué cosa en la cama te hace perder el control? Descríbela en detalle.,translated,
p-t6,truth,4,intimate,true,N/A,,,"Describe your ideal quickie. Location, how it starts, and how it ends.","Describe tu momento rápido ideal. El lugar, cómo empieza y cómo termina.",translated,
p-t10,truth,5,intimate,true,N/A,,,"Describe a fantasy involving me and one other person. Who, what, and who does what to whom.","Describe una fantasía que me involucre a mí y a otra persona. Quién, qué y quién le hace qué a quién.",translated,
p-t11,truth,4,intimate,true,N/A,,,"What would you do if I walked over, grabbed your hand, and put it exactly where I wanted it?","¿Qué harías si me acercara, te tomara de la mano y la pusiera exactamente donde la quisiera?",translated,
p-t12,truth,3,intimate,true,N/A,,,How do you like to be undressed? Walk me through it.,¿Cómo te gusta que te desnuden? Explícamelo paso a paso.,translated,
p-t14,truth,4,intimate,true,N/A,,,If I only had 30 seconds and one body part to work with—what would you choose and why?,"Si solo tuvieras 30 segundos y una parte del cuerpo para trabajar, ¿cuál elegirías y por qué?",translated,
p-d2,dare,4,intimate,true,30 sec,,,Undress me completely using only your mouth. No hands. Figure it out.,Desnúdame por completo usando solo la boca. Sin manos. Ingéniatelas.,translated,
p-d3,dare,4,intimate,true,1 min,scarf,Keep any tie loose enough to slip out of instantly. Stop the moment anyone says stop.,"Tie my wrists loosely with a scarf. For 1 minute, tease me with fingertips, eye contact, and your voice only.","Átame las muñecas sin apretar con un pañuelo. Durante 1 minuto, provócame solo con las yemas de los dedos, el contacto visual y tu voz.",translated,
p-d5,dare,4,intimate,true,1 min,,,Lap dance. 1 minute. Use me like a chair. Make me want you.,Baile erótico. 1 minuto. Úsame de silla. Hazme desearte.,translated,
p-d7,dare,4,intimate,true,30 sec,,,Pin both my wrists above my head and kiss me until I squirm.,Sujeta mis muñecas por encima de mi cabeza y bésame hasta que me retuerza.,translated,
p-d8,dare,4,intimate,true,30 sec,,"⚠️ IMPACT PLAY: Start light and build up. Avoid kidneys, tailbone, and joints. Check in frequently.",Spank me 10 times. Alternate soft and hard. I count every one out loud.,Dame 10 nalgadas. Alterna suave y fuerte. Yo cuento cada una en voz alta.,translated,
p-d9,dare,4,intimate,true,1 min,honey,,Drizzle something sweet on my body and lick off every drop.,Rocía algo dulce sobre mi cuerpo y lame cada gota.,translated,
p-d10,dare,4,intimate,true,1 min,,,Kiss five safe places on me—everywhere except my lips. Pause before each one until I want the next.,"Besa cinco lugares seguros de mi cuerpo, todos menos mis labios. Haz una pausa antes de cada uno hasta que yo quiera el siguiente.",translated,
p-d12,dare,4,intimate,true,30 sec,ice,,"Put an ice cube in your mouth, then kiss a slow line from my ear to my collarbone. Cold lips, warm skin.","Ponte un cubo de hielo en la boca, luego besa una línea lenta desde mi oreja hasta mi clavícula. Labios fríos, piel cálida.",translated,
p-d14,dare,5,intimate,true,1 min,,,Put my hand exactly where you want it and show me how you want to be touched.,Pon mi mano exactamente donde la quieras y muéstrame cómo quieres que te toquen.,translated,
p-d16,dare,5,intimate,true,30 sec,,"Keep the hand on the chin only, with zero pressure on the throat or airway. Stop immediately on request.","Take my chin in your hand, tilt my head back, and hold my gaze for ten slow seconds. Pure control, zero pressure.","Toma mi barbilla en tu mano, inclina mi cabeza hacia atrás y sostén mi mirada durante diez lentos segundos. Puro control, cero presión.",translated,
p-d18,dare,5,intimate,true,30 sec,,,Command me into a pose and hold me there with nothing but your voice for 30 seconds. First one to break loses a favor.,Ordéname una pose y mantenme ahí solo con tu voz durante 30 segundos. El primero en romperla pierde un favor.,translated,
p-d19,dare,4,intimate,true,30 sec,,,Bite a hickey somewhere only I will see it. Claim your territory.,Déjame un chupetón donde solo yo lo vea. Reclama tu territorio.,translated,
p-d20,dare,5,intimate,true,1 min,,,Trace every outline of my body with your tongue from shoulder to inner knee.,"Recorre con la lengua cada contorno de mi cuerpo, del hombro a la cara interna de la rodilla.",translated,
p-c8,challenge,3,physical,true,1 min,,,Body Map: I touch 5 spots on you in order. You have to touch them back on me in reverse. Miss one—lose an item.,"Mapa del cuerpo: Toco 5 puntos de tu cuerpo en orden. Tú tienes que tocármelos a mí en orden inverso. Si fallas uno, pierdes una prenda.",translated,
p-c10,challenge,4,intimate,true,1 min,,,"Hold Still: For 1 minute, I give three above-the-waist touches: a shoulder squeeze, a slow collarbone trace, and a kiss near your neck. You stay still or say pause.","Quédate quieto: Durante 1 minuto te doy tres roces de la cintura para arriba: un apretón en el hombro, un recorrido lento por la clavícula y un beso cerca del cuello. Te quedas quieto o dices pausa.",translated,
p-c12,challenge,4,intimate,true,1 min,,,Kiss Marathon: 1 minute. Kiss every part of my body you can reach. I count spots. Beat my record next round.,Maratón de besos: 1 minuto. Besa cada parte de mi cuerpo que puedas alcanzar. Yo cuento los lugares. Supera mi récord en la siguiente ronda.,translated,
p-c14,challenge,3,intimate,true,1 min,,,"No Talking: For the next 1 minute, no words. Only touch. Communicate entirely with your body.","Sin hablar: Durante el próximo minuto, sin palabras. Solo tacto. Comunícate por completo con tu cuerpo.",translated,
p-c15,challenge,4,intimate,true,1 min,,,Copy Cat: You do something to me. I copy it exactly back on you. We keep going until someone escalates too far.,Imitación: Me haces algo. Yo te lo copio exactamente a ti. Seguimos hasta que alguien suba demasiado el nivel.,translated,
p-r2,roleplay,4,playful,true,1 min,,,Casting Director: I need the part. You have very specific requirements. What do I have to do?,Director de casting: Necesito el papel. Tú tienes requisitos muy específicos. ¿Qué tengo que hacer?,translated,
p-r7,roleplay,4,playful,true,1 min,,,Teacher / Student: I need extra credit. You have very creative requirements.,Profesor / Alumno: Necesito puntos extra. Tú tienes requisitos muy creativos.,translated,
p-r11,roleplay,4,intimate,true,1 min,,,Royal / Servant: You exist to serve my every desire. You will not speak unless spoken to.,Realeza / Sirviente: Existes para servir cada uno de mis deseos. No hablarás a menos que se te hable.,translated,
p-fn3,fantasy,5,intimate,true,N/A,,,"Threesome scenario: who joins us, what they look like, who does what. Make it vivid.","Escenario de trío: quién se nos une, cómo es, quién hace qué. Hazlo vívido.",translated,
p-fn4,fantasy,4,intimate,true,N/A,,,"Describe your ultimate dominant move on me—right now, in this room, with what we have.","Describe tu movimiento dominante definitivo sobre mí, ahora mismo, en esta habitación, con lo que tenemos.",translated,
p-fn5,fantasy,4,intimate,true,N/A,,,Tell me a public scenario where we almost got caught. Real or imagined. I want all the details.,Cuéntame un escenario en público donde casi nos atrapan. Real o imaginado. Quiero todos los detalles.,translated,
k-ch3,truth,4,intimate,true,N/A,,,Chastity truth: How long could you last being denied by me? What would you do to earn your release?,Verdad sobre castidad: ¿Cuánto aguantarías si yo te negara el placer? ¿Qué harías para ganarte la liberación?,translated,
k-i1,dare,4,intimate,true,1 min,,,Put me over your lap. 10 spanks—count them. Alternate cheeks. I thank you after each one.,"Ponme sobre tu regazo. 10 nalgadas, cuéntalas. Alterna las nalgas. Yo te doy las gracias después de cada una.",translated,
k-i2,dare,3,intimate,true,30 sec,ice,,Trace an ice cube down my spine and along my inner arm. Slow. Watch me react.,Recorre un cubo de hielo por mi columna y por la cara interna de mi brazo. Despacio. Mira cómo reacciono.,translated,
k-i3,dare,4,intimate,true,1 min,candle,"Candle is atmosphere only. Keep flame away from skin, hair, fabric, and props.","Light the candle for atmosphere only. Warm your palms above it, then press them to my shoulders. Heat without the burn.","Enciende la vela solo para dar ambiente. Calienta tus palmas sobre ella, luego apriétalas contra mis hombros. Calor sin la quemadura.",translated,
k-p2,dare,4,intimate,true,1 min,collar;leash,Keep anything at the neck loose and decorative—never restricting. Remove immediately on request.,"Collar and Lead: Put it on me, clip the leash if we have one, and lead me exactly three gentle steps. No pulling—just presence.","Collar y correa: Póntemelo, engancha la correa si tenemos una y guíame exactamente tres pasos suaves. Sin jalar, solo presencia.",translated,
k-t2,dare,5,intimate,true,1 min,toy,,Pick one toy from our drawer. Set it where I can see it. Tell me—in exact words—what I have to do to earn it.,"Elige un juguete de nuestro cajón. Ponlo donde pueda verlo. Dime, con palabras exactas, qué tengo que hacer para ganármelo.",translated,
k-t3,dare,4,intimate,true,1 min,toy,,Hold the toy where I can see it. Describe—slowly—where it would go and when. Don't use it. Not yet.,"Sostén el juguete donde pueda verlo. Describe, despacio, adónde iría y cuándo. No lo uses. Todavía no.",translated,
k-o1,dare,4,intimate,true,1 min,,,Tease me everywhere EXCEPT where I want it most. 1 minute. Make me beg before you give in.,Provócame por todas partes EXCEPTO donde más lo quiero. 1 minuto. Hazme rogar antes de ceder.,translated,
k-o3,dare,4,intimate,true,30 sec,,,"Straddle my lap fully clothed, take my face in both hands, and tell me exactly who's in charge.","Siéntate a horcajadas sobre mi regazo con la ropa puesta, toma mi cara con ambas manos y dime exactamente quién manda.",translated,
k-o4,challenge,5,intimate,true,30 sec,,,"Kiss the back of my neck once, slow, then whisper the filthiest compliment you can invent.","Besa la parte de atrás de mi cuello una vez, despacio, luego susúrrame el cumplido más sucio que puedas inventar.",translated,
k-h1,dare,5,intimate,true,1 min,body-safe-marker,⚠️ MARKING: Use only body-safe markers. Test for allergies first. Avoid sensitive areas and broken skin.,Write one word on my body somewhere hidden—body-safe marker or just your fingertip. Your word. Your choice. Tell me why.,"Escribe una palabra en mi cuerpo, en un lugar escondido, con un marcador apto para la piel o solo con la yema del dedo. Tu palabra. Tu elección. Dime por qué.",translated,
k-g1,fantasy,5,intimate,true,N/A,,,Cuckold / Hotwife: Would you want to watch me with someone? Or be watched? Tell me exactly what the scene looks like.,Cornudo / Esposa compartida: ¿Querrías verme con alguien? ¿O que te vean a ti? Dime exactamente cómo se ve la escena.,translated,
k-g2,fantasy,5,intimate,true,N/A,,,Group scenario: Multiple people. Being passed around. Completely used. Describe your ideal version in detail.,Escenario grupal: Varias personas. Que te pasen de mano en mano. Que te usen por completo. Describe tu versión ideal en detalle.,translated,
lvl1-t-002,truth,1,communication,false,N/A,,,What physical detail first catches your attention when attraction starts? Be specific.,¿Qué detalle físico capta primero tu atención cuando empieza la atracción? Sé específico.,translated,
lvl1-t-004,truth,1,playful,false,N/A,,,"If I fed you one bite slowly right now, what would you want it to be?","Si te diera un bocado despacio ahora mismo, ¿qué querrías que fuera?",translated,
lvl1-t-007,truth,1,playful,false,N/A,,,"If we slipped away for one private minute right now, where would you take me?","Si nos escapáramos por un minuto de privacidad ahora mismo, ¿adónde me llevarías?",translated,
lvl1-t-009,truth,1,communication,false,N/A,,,What is one confident move I make that you secretly find attractive?,¿Qué gesto seguro que hago encuentras secretamente atractivo?,translated,
lvl1-t-011,truth,1,playful,false,N/A,,,"Describe my flirt style in three words, then show me one of them.","Describe mi estilo de coqueteo en tres palabras, luego muéstrame una de ellas.",translated,
lvl1-t-015,truth,1,playful,false,N/A,,,"If you could control one tiny thing about this round—my posture, my voice, or my hands—which would you choose?","Si pudieras controlar una pequeña cosa de esta ronda —mi postura, mi voz o mis manos—, ¿cuál elegirías?",translated,
lvl1-d-001,dare,1,physical,false,30 sec,,,"Hold my hand for the next 30 seconds without letting go, no matter what.","Tómame de la mano durante los próximos 30 segundos sin soltarla, pase lo que pase.",translated,
lvl1-d-002,dare,1,physical,false,30 sec,,,Give me a 30-second shoulder massage while telling me what you appreciate about me.,Dame un masaje de hombros de 30 segundos mientras me dices qué aprecias de mí.,translated,
lvl1-d-003,dare,1,playful,false,30 sec,,,"Give me your most innocent face, then your most guilty face. Hold each for 5 seconds.","Ponme tu cara más inocente, luego tu cara más culpable. Mantén cada una 5 segundos.",translated,
lvl1-d-004,dare,1,physical,false,30 sec,,,"Trace the outline of my hand with your finger, slowly, while looking into my eyes.","Traza el contorno de mi mano con tu dedo, despacio, mientras me miras a los ojos.",translated,
lvl1-d-006,dare,1,playful,false,30 sec,food,,"Feed me one bite of fruit or chocolate slowly, like you know I am watching your mouth.","Dame un bocado de fruta o chocolate despacio, como si supieras que estoy mirando tu boca.",translated,
lvl1-d-007,dare,1,physical,false,30 sec,,,Play with my hair for 30 seconds while telling me exactly how you like me looking at you.,Juega con mi cabello durante 30 segundos mientras me dices exactamente cómo te gusta que te mire.,translated,
lvl1-d-008,dare,1,emotional,false,30 sec,,,"Give me three compliments: one sweet, one physical, and one that would make me blush.","Dame tres cumplidos: uno dulce, uno físico y uno que me haga sonrojar.",translated,
